Title,Trips,Performed,Unperformed,Advance Cancels,Driver Canceles,Trip Revenue,Total Revenue,Revenue Per Mile,Revenue Per Capacitated Mile,Total Miles,Capacitated Miles,Empty Miles
GARCC (Fac) - Wheeling,74,61,13,13,0,"3,850.00","3,850.00",2.87,5.25,"1,341.30",732.90,608.40
St Patricks (Fac-E) - Naperville,197,154,43,43,15,"8,716.00","8,716.00",2.79,7.00,"3,124.10","1,245.30","1,878.80"
Meadowbrook (Fac-E) - Bollingbrook,349,277,72,72,12,"12,764.00","12,764.00",3.45,13.71,"3,704.70",930.70,"2,774.00"
Arista Health (Fac-E) - Naperville,34,30,4,4,1,"1,453.00","1,453.00",2.71,9.85,536.60,147.50,389.10
Inverness Health (Fac-E) - Inverness,152,127,25,25,6,"9,008.00","9,008.00",3.27,5.94,"2,751.20","1,516.20","1,235.00"
Elevate Care (Fac-E) - Riverwoods,233,201,32,33,12,"13,961.00","13,961.00",3.19,5.68,"4,380.70","2,457.50","1,923.20"
Private Pay,271,225,46,46,8,"19,562.80","19,562.80",4.06,9.45,"4,822.50","2,069.20","2,753.30"
Fox River Rehab (Fac-E) - Elgin,41,38,3,3,1,"1,640.00","1,640.00",5.26,22.78,311.90,72.00,239.90
Avantara (PP)  - Elgin,125,103,22,22,5,"5,455.00","5,455.00",4.94,15.60,"1,104.10",349.60,754.50
Tower Hill (Fac-E) - Elgin,159,133,26,26,6,"7,382.00","7,382.00",3.18,8.98,"2,323.30",822.50,"1,500.80"
Medicaid - MediCar (Wheelchair),1124,881,243,243,23,"20,202.80","20,202.80",1.42,3.67,"14,228.20","5,501.30","8,726.90"
Riverview (Fac) - Elgin,103,92,11,11,3,"5,362.00","5,362.00",3.55,7.48,"1,508.80",716.50,792.30
Catholic Charities,49,44,5,5,1,"2,023.00","2,023.00",1.68,2.80,"1,206.80",723.10,483.70
Citadel (Fac) - Elgin,44,38,6,6,3,"2,027.50","2,027.50",2.99,5.57,678.00,364.30,313.70
Lee Manor (Fac-E) - Des Plaines,217,187,30,32,5,"8,723.50","8,723.50",3.42,10.82,"2,547.70",806.20,"1,741.50"
xxx Private Pay (Existing Customers),145,133,12,12,3,"8,923.50","8,923.50",3.48,7.31,"2,564.80","1,220.10","1,344.70"
Friendship (Fac-E) - Sch,255,214,41,42,3,"12,594.00","12,594.00",4.07,11.40,"3,093.00","1,105.20","1,987.80"
GARCC (PP) - Wheeling,45,40,5,5,1,"2,991.70","2,991.70",4.13,8.04,724.00,372.00,352.00
Church Creek (Fac-A) - Arl Hts,38,31,7,7,0,"1,447.00","1,447.00",5.36,28.10,270.00,51.50,218.50
Manor Care (PP-E) - Libertyville,26,19,7,7,1,"1,208.00","1,208.00",3.98,12.56,303.20,96.20,207.00
Medicaid - Service Car (Ambulatory),171,142,29,29,4,"2,342.59","2,342.59",0.98,2.34,"2,395.50","1,001.40","1,394.10"
Avantara (Fac-E) - Long Grove,351,283,68,68,15,"18,661.50","18,661.50",3.21,6.47,"5,819.40","2,883.00","2,936.40"
Fox River Rehab (PP-E) - Elgin,40,39,1,1,1,"3,036.00","3,036.00",5.07,10.09,598.40,300.90,297.50
Church Creek (PP-A) - Arl Hts,41,37,4,4,1,"1,940.00","1,940.00",4.82,22.05,402.20,88.00,314.20
Manor Care (Fac-A) - Elk Grove,189,153,36,37,9,"6,462.00","6,462.00",3.51,13.91,"1,841.90",464.50,"1,377.40"
Symphony (Fac-E) - Buf Grove,207,150,57,57,4,"14,980.00","14,980.00",4.87,9.09,"3,077.70","1,647.90","1,429.80"
Friendship (PP-E) - Sch,103,92,11,11,1,"6,872.00","6,872.00",5.59,15.75,"1,228.70",436.30,792.40
Warren Barr (Fac-E) - Lincolnshire,150,121,29,29,6,"5,566.00","5,566.00",2.65,5.52,"2,098.10","1,008.40","1,089.70"
Lutheran Home (PP-E) - Arl Hts,175,157,18,18,3,"10,104.50","10,104.50",3.98,8.96,"2,536.50","1,127.40","1,409.10"
Alden Valley (Fac) - Bloomingdale,44,36,8,8,3,"2,226.00","2,226.00",2.72,7.01,818.10,317.70,500.40
Tower Hill (PP-E) - Elgin,5,5,0,0,0,353.00,353.00,9.03,13.68,39.10,25.80,13.30
Dimensions Living (Fac) - Prospect Heights,27,25,2,2,0,"1,448.00","1,448.00",3.74,7.98,387.00,181.40,205.60
Arista Health (PP-E) - Naperville,30,26,4,4,1,"1,300.00","1,300.00",2.83,21.10,458.90,61.60,397.30
Manor Care (PP-A) - Elk Grove,114,104,10,10,2,"6,485.40","6,485.40",3.85,8.84,"1,686.30",733.60,952.70
Inverness Health (PP-E) - Inverness,31,29,2,2,0,"2,684.00","2,684.00",4.84,10.00,554.80,268.50,286.30
The Pearl (PP-E) - Rolling Meadows,12,12,0,0,0,752.00,752.00,4.79,11.22,156.90,67.00,89.90
Forest View (Fac-E) - Itasca,60,48,12,12,1,"3,154.00","3,154.00",3.31,7.59,954.00,415.40,538.60
Avondale (PP-A) - Elgin,27,25,2,2,1,"2,069.00","2,069.00",4.52,9.46,457.60,218.60,239.00
Wauconda Care (PP-E),66,57,9,9,2,"4,844.00","4,844.00",3.26,8.63,"1,487.90",561.40,926.50
Alden (Fac-A) - Barrington,7,7,0,0,0,450.00,450.00,3.29,7.92,136.80,56.80,80.00
Alden (Fac-A) - Long Grove,2,2,0,0,0,160.00,160.00,2.49,6.45,64.20,24.80,39.40
